"row","kTotal","kWithin","kOut","kDiff","module","Target_annotation","Target_Contig"
"FUN_038951",408.605345395742,390.619028720983,17.9863166747588,372.632712046224,"orange","",2121
"FUN_020497",400.98283323566,390.569978196114,10.4128550395457,380.157123156568,"orange","",1177
"FUN_046004",398.984215174313,390.236019030547,8.74819614376537,381.487822886782,"orange","SYT16",2358
"FUN_034459",404.089481277055,388.647150092727,15.4423311843279,373.204818908399,"orange","PITX2",1903
"FUN_018374",398.599422826924,387.906447607046,10.6929752198772,377.213472387169,"orange","PAFAH1B1",1050
"FUN_023411",406.071789160048,387.729013674392,18.3427754856564,369.386238188735,"orange","",1326
"FUN_009263",394.342558720732,387.090768467124,7.25179025360876,379.838978213515,"orange","",570
"FUN_027485",411.550200180783,386.656177356681,24.8940228241016,361.76215453258,"orange","FSTL5",1522
"FUN_023780",398.694892200812,386.225940308169,12.4689518926435,373.756988415525,"orange","UPP1_2",1338
"FUN_034301",393.703569002823,385.404040321404,8.29952868141856,377.104511639985,"orange","",1899
"FUN_039178",391.672249730026,385.390409155664,6.28184057436175,379.108568581303,"orange","SYT12",2129
"FUN_003299",392.739880651941,384.716765247281,8.02311540465979,376.693649842621,"orange","TSPAN7_1",259
"FUN_010045",397.650155151378,384.378066661719,13.2720884896582,371.105978172061,"orange","",610
"FUN_019186",393.005500307289,384.130387352175,8.87511295511342,375.255274397062,"orange","WISP1",1102
